Purchase Date,Serial No,Bill No,Category,Name of the item,Pre/Post,Quantity,Price,Sold Quantity,Depriciation method,Location,Current condition
9/12/2017,1,12,Office equipment,Fixed Chair,Post,6,"56,862",4, SLM , HQ ,Sold
9/12/2017,2,12,Office equipment,Sider Extension,Post,1,"22,253",0, SLM , HQ ,Good
9/12/2017,3,12,Office equipment,Executive Table,Post,1,"10,810",0, SLM , HQ ,Good
9/12/2017,4,12,Office equipment,Drawer Unit,Post,1,"21,481",4, SLM , HQ ,Good
9/12/2017,5,12,Office equipment,Swivel Chair,Post,1,"11,653",0, SLM , HQ ,Good
9/12/2017,6,12,Office equipment,Swivel Chair,Post,1,"32,151",0, SLM , HQ ,Good
9/12/2017,7,12,Office equipment,Center Table,Post,1,"24,570",4, SLM , HQ ,Good
9/12/2017,9,14,Office equipment,Carpet,Post,270 ft,"24,830",0, SLM , HQ ,Good
10/3/2017,10,22,Computer and Computer Equiments,Computer (Desktop),Post,2,"105,164",4, SLM , HQ ,Good
10/3/2017,11,22,Computer and Computer Equiments,Computer(laptop),Post,1,"55,000",0, SLM , HQ ,Good
10/3/2017,13,25,Office equipment,Fridge,Post,1,"56,900",4, SLM , HQ ,Good
12/27/2017,14,60,Furniture,Fixed Chair,Post,8,"38,400",0, SLM , HQ ,Sold
10/3/2017,15,26,Office equipment,Microwave Oven,Post,1,"16,900",0, SLM , HQ ,Good
10/9/2017,16,28,Office equipment,vertical Curtain ,Post,120 ft,"19,500",4, SLM , HQ ,Good
4/5/2018,17,108,Furniture,KDK ceilling fan,Post,6,"30,146",0, SLM , HQ ,Sold
10/3/2017,18,23,Office equipment,Ceiling Fan,Post,4,"18,900",0, SLM , HQ ,Good
10/31/2017,19,34,Furniture,Ceiling fan ,Post,3,"13,500",4, SLM , HQ ,Good
9/12/2017,1,12,Office equipment,Fixed Chair,Post,6," 56,862 ",4, SLM , HQ ,Sold
9/12/2017,2,12,Office equipment,Sider Extension,Post,1," 22,253 ",0, SLM , HQ ,Good
9/12/2017,3,12,Office equipment,Executive Table,Post,1," 10,810 ",0, SLM , HQ ,Good
9/12/2017,4,12,Office equipment,Drawer Unit,Post,1," 21,481 ",4, SLM , HQ ,Good
9/12/2017,5,12,Office equipment,Swivel Chair,Post,1," 11,653 ",0, SLM , HQ ,Good
9/12/2017,6,12,Office equipment,Swivel Chair,Post,1," 32,151 ",0, SLM , HQ ,Good
9/12/2017,7,12,Office equipment,Center Table,Post,1," 24,570 ",4, SLM , HQ ,Good
9/12/2017,8,13,Office equipment,Curtain Fabric,Post,0," 47,855 ",0, SLM , HQ ,Good
9/12/2017,9,14,Office equipment,Carpet,Post,270 ft," 24,830 ",0, SLM , HQ ,Good
10/3/2017,10,22,Computer and Computer Equiments,Computer (Desktop),Post,2," 105,164 ",4, SLM , HQ ,Good
10/3/2017,11,22,Computer and Computer Equiments,Computer(laptop),Post,1," 55,000 ",0, SLM , HQ ,Good
10/3/2017,12,24,Office equipment,Crokeries ,Post,0," 50,900 ",0, SLM , HQ ,Good
10/3/2017,13,25,Office equipment,Fridge,Post,1," 56,900 ",4, SLM , HQ ,Good
12/27/2017,14,60,Furniture,Fixed Chair,Post,8," 38,400 ",0, SLM , HQ ,Sold
10/3/2017,15,26,Office equipment,Microwave Oven,Post,1," 16,900 ",0, SLM , HQ ,Good
10/9/2017,16,28,Office equipment,vertical Curtain ,Post,120 ft," 19,500 ",4, SLM , HQ ,Good
4/5/2018,17,108,Furniture,KDK ceilling fan,Post,6," 30,146 ",0, SLM , HQ ,Sold
10/3/2017,18,23,Office equipment,Ceiling Fan,Post,4," 18,900 ",0, SLM , HQ ,Good
10/31/2017,19,34,Furniture,Ceiling fan ,Post,3," 13,500 ",4, SLM , HQ ,Good
